#"Step","Potential Energy (kJ/mole)","Temperature (K)"
10,699.5281982421875,2.425773967608139
20,701.628662109375,3.5644294993223506
30,703.34130859375,5.400401711419111
40,704.64453125,7.19942376422608
50,706.6603393554688,8.038603272805428
60,708.80224609375,9.62559364482397
70,710.847412109375,10.740477968739755
80,712.0428466796875,12.993119017979199
90,714.3878784179688,13.620769753965009
100,715.8490600585938,15.352880750325342
110,718.2084350585938,15.599138679836885
120,717.797607421875,18.015596316482284
130,722.2365112304688,18.281854301724106
140,723.1785278320312,21.066224730284297
150,724.5940551757812,22.062295278673155
160,726.4642944335938,23.1552910398125
170,729.1158447265625,23.928104567069493
180,729.1104736328125,26.859860311742533
190,732.60595703125,26.048744256391554
200,732.105712890625,30.153007116164794
210,733.6531372070312,31.759010115757192
220,737.479736328125,33.45486998867577
230,739.896728515625,34.23009170231677
240,739.5105590820312,36.15272717659194
250,743.6192626953125,36.34237624339889
260,747.8662109375,34.181020462124984
270,741.0463256835938,37.96444249514601
280,749.4737548828125,32.771788649226245
290,746.8425903320312,37.35796273721175
300,750.1279907226562,37.940283109418864
310,751.71142578125,39.63431561482039
320,755.9754638671875,38.17786472554266
330,754.8885498046875,41.41403160747513
340,751.821533203125,44.212759449503764
350,752.7379760742188,47.284636035022615
360,753.769287109375,49.21545191420637
370,751.97216796875,53.92412576103101
380,759.0419921875,49.80250920243947
390,764.6123657226562,49.54520351734886
400,766.9929809570312,49.85567856978386
410,771.910400390625,51.12765015855669
420,770.1585083007812,53.75932938502854
430,771.636962890625,53.62489113265409
440,758.8383178710938,61.49745612060193
450,767.7572631835938,56.33058262560494
460,767.563232421875,57.6802940112438
470,771.9920043945312,57.944824972559275
480,771.0678100585938,60.44596220076746
490,777.599609375,60.64534097530605
500,776.7088012695312,64.1138178596464
510,778.2818603515625,65.04656948069596
520,782.98779296875,62.6994424335703
530,783.896484375,65.24032942645248
540,783.1519165039062,70.00934711254884
550,794.0950927734375,65.59244595266847
560,799.2809448242188,61.94951309235482
570,788.6348266601562,69.91843325748923
580,798.01953125,64.52771669243205
590,795.9419555664062,67.33004855220057
600,800.2787475585938,68.46627415768862
610,795.68505859375,76.17293335678204
620,809.6922607421875,69.80123330989241
630,802.9623413085938,75.75696324463547
640,800.3325805664062,78.20177672086841
650,800.3216552734375,82.22496433098972
660,807.9895629882812,79.35823035266536
670,810.6165161132812,79.37671557057355
680,815.9911499023438,74.21679415031068
690,800.67822265625,85.45136325473105
700,812.6751098632812,82.60488806569484
710,818.631591796875,82.76248427165143
720,812.5103759765625,86.49233553505024
730,812.8419189453125,87.35347142997767
740,819.623046875,82.41239227724832
750,807.67724609375,92.43469391760715
760,808.0625,96.5764511311061
770,809.9983520507812,92.68837171892828
780,811.1910400390625,99.131073893343
790,817.865478515625,97.10895070459183
800,824.5709228515625,94.85267893076632
810,822.1722412109375,95.11804514922451
820,819.264892578125,96.98006233633554
830,812.780517578125,100.77128424010122
840,819.26904296875,96.79053406112078
850,820.7721557617188,94.57121222555438
860,821.4449462890625,95.27079370058412
870,822.9133911132812,91.04814919927973
880,827.6742553710938,96.50359408260864
890,827.109375,94.73270639548339
900,829.0755004882812,93.88729481669641
910,811.5736083984375,108.92796327122777
920,840.7603759765625,89.6449834149973
930,822.4390258789062,105.49660273183477
940,830.129638671875,102.9347398212666
950,824.1411743164062,108.51493997318629
960,844.685546875,96.99814746441261
970,831.1276245117188,109.07808574072699
980,843.3109130859375,98.33375684343109
990,832.6484985351562,108.55843824273771
1000,848.2852783203125,101.8405159051042
1010,824.0299072265625,121.80229571225344
1020,834.07373046875,115.67310816980942
1030,826.732177734375,118.63073380290737
1040,823.2236938476562,123.74924924022845
1050,832.1126708984375,117.68231712518681
1060,836.7021484375,118.91502775079195
1070,850.767578125,109.48176877194456
1080,836.7295532226562,122.13266731084975
1090,856.32421875,105.8416078998043
1100,847.9746704101562,113.93974383616315
1110,842.4758911132812,119.8934652512249
1120,834.7899780273438,125.04899483877068
1130,852.7750854492188,112.02948621509688
1140,838.16845703125,125.75392326815643
1150,854.1189575195312,117.9245935435074
1160,850.2852783203125,120.42287526036405
1170,861.4442138671875,114.92997977311789
1180,860.4879150390625,116.5045192533528
1190,858.3731079101562,119.01344823739768
1200,841.4215087890625,132.1448527289802
1210,852.7367553710938,125.5530887514075
1220,848.842041015625,126.14960685994242
1230,850.9379272460938,126.09805856575524
1240,858.4449462890625,120.44486613965013
1250,860.0275268554688,121.67268621547244
1260,849.367919921875,133.64240638162948
1270,866.9303588867188,126.24385439584395
1280,870.588134765625,126.15602868208084
1290,885.1875,120.37065404030413
1300,873.1871337890625,132.35666704238824
1310,881.9305419921875,123.61377358574009
1320,870.9451293945312,132.6657800351007
1330,879.4628295898438,123.97578677516604
1340,863.6223754882812,137.47902404713196
1350,880.731201171875,126.55848350411841
1360,876.913330078125,132.71687533792152
1370,879.22509765625,127.05823617276474
1380,866.279052734375,141.0852250924742
1390,899.4657592773438,117.30478776711553
1400,865.5718383789062,144.1241785044464
1410,883.1282958984375,135.58640909405162
1420,885.9857788085938,134.88993907156976
1430,883.7091064453125,135.05115793343597
1440,875.2576904296875,144.01425223791225
1450,886.0321655273438,137.68182668725586
1460,875.7392578125,152.8477063880361
1470,891.4854736328125,137.5830067631677
1480,877.5506591796875,148.3931264071578
1490,888.701416015625,144.4948886208805
1500,890.3325805664062,142.95714594673777
1510,887.3339233398438,145.11498342896263
1520,889.3832397460938,143.00430307112381
1530,885.100341796875,142.42483596579416
1540,874.1053466796875,149.63201190780438
1550,878.5012817382812,147.15928866387927
1560,881.0303344726562,149.6325310914303
1570,895.380615234375,139.40342502780916
1580,883.8705444335938,146.26784445489523
1590,901.23388671875,138.67141434598827
1600,895.89208984375,144.4218616855624
1610,885.6656494140625,157.74794782681533
1620,895.2003173828125,145.6535455847473
1630,880.986572265625,160.0516229605988
1640,905.925048828125,141.80306136683066
1650,892.393798828125,154.84052480805227
1660,907.2655639648438,141.60400889768002
1670,898.7933349609375,154.69875389341536
1680,903.14794921875,151.95949714107695
1690,897.4637451171875,156.486277275028
1700,902.42919921875,149.71796969500917
1710,887.4948120117188,164.9644133426598
1720,900.5701293945312,153.98609398986324
1730,889.2044067382812,164.68270582637385
1740,895.6044921875,159.87296044641658
1750,907.8033447265625,149.2166591500152
1760,896.436279296875,157.77359446404083
1770,914.0150146484375,142.9981871057774
1780,898.5530395507812,157.19630781525072
1790,911.9336547851562,149.64073757619767
1800,889.1851806640625,167.15004472917627
1810,907.0201416015625,152.50675822882053
1820,900.1365356445312,160.412148324375
1830,897.8233642578125,162.3809923234754
1840,903.5751953125,157.9001084929308
1850,896.0338134765625,160.2124872519206
1860,897.4360961914062,158.53964048448853
1870,904.1746826171875,152.5904832461916
1880,887.3323974609375,166.6884858347499
1890,901.0668334960938,163.27432448739117
1900,917.41845703125,148.36692008573695
1910,896.776611328125,164.93053358567778
1920,900.718994140625,161.99610128454356
1930,905.4400024414062,157.51455789422997
1940,903.7623291015625,158.58475298880742
1950,887.223388671875,175.39091047148472
1960,916.5350341796875,158.1105422934607
1970,909.527099609375,162.93532291699842
1980,915.6310424804688,163.55835329990776
1990,907.6512451171875,170.0921451724071
2000,915.6646118164062,164.65480217251346
2010,897.284423828125,180.72874726940336
2020,908.2808837890625,174.91741569221338
2030,903.5575561523438,177.64269745642451
2040,921.7213745117188,160.82602569622665
2050,918.329833984375,163.59807982025595
2060,906.921142578125,174.27434830175756
2070,916.044921875,165.7224418636203
2080,912.5916748046875,170.5413232562165
2090,912.8887939453125,175.01443064773395
2100,938.553466796875,158.53545235082606
2110,937.3427734375,159.42354802007074
2120,921.743896484375,174.2659320509517
2130,921.2967529296875,173.8368177632547
2140,929.5493774414062,160.40990018137333
2150,907.5572509765625,172.53798149654426
2160,912.5184326171875,174.20649416200658
2170,922.8856201171875,165.54894147917426
2180,928.67236328125,163.8441624749058
2190,917.34765625,171.0910721891839
2200,920.54296875,169.88062354799848
2210,914.4532470703125,174.7879442665161
2220,911.4013671875,177.2382841426659
2230,912.5449829101562,174.81496979138382
2240,918.1488037109375,168.09684146865732
2250,906.8159790039062,174.2134292452055
2260,919.6751098632812,170.95794425738916
2270,936.5604248046875,158.867281179495
2280,922.7440185546875,172.47116116746687
2290,927.9522705078125,169.2840289300908
2300,929.3397216796875,169.47919023922734
2310,936.5098876953125,164.6144090419579
2320,932.6844482421875,165.57874078511762
2330,917.8169555664062,180.22107894234338
2340,917.633056640625,179.29893095227104
2350,929.6434936523438,169.2475870376249
2360,928.894775390625,172.03324443007446
2370,919.0732421875,182.05542560431093
2380,929.7295532226562,174.83882610759505
2390,930.062255859375,172.31530566589268
2400,936.943603515625,166.0754091490669
2410,927.7464599609375,170.69170948452933
2420,935.0042114257812,165.69864467584523
2430,920.76220703125,175.00728251068722
2440,936.4859619140625,163.15361503195433
2450,913.145751953125,181.798407697288
2460,922.5292358398438,176.73840670493192
2470,917.46923828125,183.89134100289368
2480,919.8754272460938,187.6376959813368
2490,909.78955078125,193.53302303713653
2500,907.4490966796875,197.87754971009198
2510,926.6150512695312,184.06564003827984
2520,922.0623779296875,188.72336889582508
2530,936.5899658203125,179.60853375037414
2540,946.72607421875,171.86990702139286
2550,945.738525390625,170.2893029940636
2560,927.3829345703125,190.5472322661313
2570,961.781982421875,165.34525856280192
2580,932.940673828125,186.05187659374388
2590,938.693359375,181.86193030924005
2600,930.1184692382812,192.46820552771624
2610,959.682861328125,171.09537480511347
2620,934.1670532226562,190.13603404956848
2630,937.5347290039062,189.87955337918228
2640,939.73583984375,183.29563488110995
2650,946.8590698242188,181.3598827877337
2660,954.78125,175.69854559285332
2670,935.5841064453125,193.2098934489889
2680,944.91796875,187.17017465915933
2690,935.6685791015625,193.89725623825896
2700,920.7122192382812,200.81905850791532
2710,921.4783325195312,202.06991093421553
2720,940.7754516601562,184.61711930858638
2730,924.7889404296875,200.0100020282188
2740,961.9645385742188,174.23701238158876
2750,933.7728881835938,191.3122843452605
2760,942.2575073242188,186.86100449083
2770,938.9207763671875,187.68338096743923
2780,940.7799682617188,190.01725370339048
2790,935.1422119140625,193.1728500163382
2800,941.2542114257812,184.52987254937128
2810,945.4539184570312,183.01665907997508
2820,933.2613525390625,194.62324082422188
2830,942.8338623046875,184.2380135741639
2840,937.9488525390625,194.01640459505552
2850,953.4949951171875,185.6833682401499
2860,983.01025390625,164.90883004275022
2870,944.0162353515625,192.067076696717
2880,947.96142578125,187.99402961014752
2890,943.4609375,189.32884417764322
2900,929.536865234375,201.81203185926637
2910,942.3419189453125,192.48272689452045
2920,949.9129638671875,185.2398199327456
2930,924.9078369140625,207.35433659844048
2940,970.8108520507812,176.17023792700533
2950,936.6387329101562,202.18500230902833
2960,928.5140991210938,209.89861840555153
2970,936.7167358398438,205.50057917241554
2980,967.568603515625,182.51490656098136
2990,945.4650268554688,199.7384829307059
3000,964.00390625,184.28831862626708
3010,936.0834350585938,213.08087106049328
3020,960.2282104492188,195.36509978766279
3030,943.3649291992188,208.0138182011342
3040,954.11474609375,206.2382988846694
3050,976.3472900390625,188.27082172681443
3060,964.82666015625,197.0872483808299
3070,962.4646606445312,209.4117824442375
3080,978.2698974609375,194.95448147951424
3090,954.86669921875,218.77068919557286
3100,942.2674560546875,228.89202046688197
3110,983.1932373046875,198.998065455022
3120,969.4580688476562,205.46803509871106
3130,952.68896484375,214.79283012180846
3140,957.6763916015625,218.91940642141486
3150,976.9962768554688,205.3423002982408
3160,960.0811767578125,213.81921931988668
3170,954.5798950195312,219.79251892578142
3180,970.2936401367188,204.40715188603943
3190,970.9426879882812,201.76353914177622
3200,970.9586181640625,200.22467678222665
3210,953.8587036132812,216.6259933950384
3220,968.2529296875,209.0409306850048
3230,989.6996459960938,189.91008030050446
3240,959.8727416992188,214.28983643824301
3250,988.598876953125,192.36722299016432
3260,966.2716674804688,210.51199088558295
3270,990.71923828125,192.84222641106777
3280,963.2975463867188,214.83084693059027
3290,972.752197265625,205.42315785838878
3300,974.6321411132812,207.34836447704117
3310,984.1300659179688,203.97686457673606
3320,975.0408935546875,214.29090429503802
3330,982.7965087890625,206.04532458232973
3340,946.8585205078125,236.78172882085528
3350,974.0252075195312,217.07846848726595
3360,981.55810546875,208.56303553048895
3370,978.1277465820312,213.09973280900417
3380,991.5042114257812,200.9841184609755
3390,985.0505981445312,211.79005516050464
3400,995.9216918945312,209.56895070811996
3410,1001.75634765625,206.8314877759492
3420,993.0591430664062,208.1080294351686
3430,966.0984497070312,231.5375445505943
3440,987.7579345703125,212.63158830641765
3450,983.0662231445312,216.2641238660424
3460,942.0447387695312,254.17559609898294
3470,975.407958984375,232.60221793462765
3480,1016.5948486328125,197.5951308811568
3490,1005.210205078125,208.4510403717252
3500,1019.33642578125,200.70394809839846
3510,1011.5422973632812,205.07598489761665
3520,998.2194213867188,207.28443444725448
3530,987.000244140625,214.17269982764734
3540,976.0941162109375,221.36024784674595
3550,972.658447265625,225.94668394150273
3560,991.2197875976562,205.44550454669556
3570,966.3031005859375,222.26766782059622
3580,974.0113525390625,215.61311001447856
3590,969.1751708984375,218.11424099746938
3600,961.7239990234375,230.68371738462184
3610,986.498046875,212.69542315951398
3620,1006.8928833007812,193.8657532567359
3630,969.8721313476562,227.76292387461984
3640,987.7724609375,217.4307405436996
3650,980.496826171875,228.7622740459111
3660,993.4614868164062,216.3620049152151
3670,976.4214477539062,225.62781814960505
3680,971.8474731445312,228.09146872071037
3690,991.6585693359375,213.01328718754445
3700,994.906494140625,209.39329724323682
3710,966.191162109375,233.9663231127427
3720,974.74267578125,230.59061007677113
3730,977.7997436523438,228.2289713903045
3740,967.9879150390625,239.11836514827985
3750,957.4898071289062,246.71233660844234
3760,981.358154296875,223.43356664133498
3770,979.1029663085938,224.227361886528
3780,999.5765380859375,210.7889221187822
3790,1000.029541015625,217.48206205371898
3800,994.773193359375,227.72591319889173
3810,1033.1502685546875,198.01766988273826
3820,1019.64697265625,206.4534573291794
3830,996.9764404296875,224.81600460835065
3840,1005.2347412109375,222.09066394034454
3850,991.767333984375,236.63054060800178
3860,984.5242309570312,244.29658950782274
3870,990.2186279296875,240.31596711874127
3880,984.7662353515625,240.60382599310907
3890,993.310302734375,234.25563197653508
3900,998.0474853515625,232.3930429515355
3910,996.986328125,233.3068603478508
3920,993.0314331054688,240.22412088407407
3930,1005.1897583007812,228.32020284196722
3940,1038.156982421875,204.77959408551467
3950,1025.980224609375,214.61288904924297
3960,1018.3317260742188,223.30902975034928
3970,1027.353759765625,218.23773412347558
3980,1006.4404296875,234.21494135982184
3990,1013.0180053710938,231.40334172847375
4000,1010.4503784179688,232.4506344942657
4010,1021.761962890625,222.8201420607624
4020,1028.4378662109375,217.02583791064177
4030,1010.2081298828125,228.20316450636605
4040,1012.3566284179688,225.56340172129418
4050,984.9012451171875,240.77398249443021
4060,994.9525146484375,238.52242560682888
4070,1000.6019287109375,233.4389072349803
4080,1003.6976928710938,232.60313825071546
4090,1032.505126953125,213.00266340561421
4100,992.7151489257812,241.14643636573425
4110,1012.24853515625,229.57063671964485
4120,1032.809326171875,209.60786895573682
4130,990.1063232421875,244.57904272490444
4140,1011.134765625,230.0995896098679
4150,1046.33984375,198.68915199647694
4160,1003.1557006835938,230.48101229246888
4170,1011.8036499023438,223.78955079017555
4180,995.3345947265625,234.25598863515899
4190,1019.6896362304688,217.8447100446601
4200,1006.1893920898438,228.11977244326746
4210,980.646240234375,250.06697291701352
4220,990.135498046875,242.16106644025552
4230,989.6597290039062,242.5706855897049
4240,984.3947143554688,249.60229758795495
4250,984.70458984375,248.3204294944802
4260,973.6055297851562,256.1722656610128
4270,1024.3182373046875,216.41665344592013
4280,997.8486328125,237.02024491805125
4290,1026.6544189453125,220.66094856677793
4300,1046.858154296875,202.90007590209999
4310,1014.5228881835938,229.8050023968239
4320,1020.9173583984375,231.0325790606311
4330,1027.970947265625,222.47157502516288
4340,998.2278442382812,247.47214279231605
4350,989.0558471679688,250.01533464449565
4360,969.1735229492188,272.2975231857626
4370,1015.749755859375,235.61927710086934
4380,978.8856201171875,253.41493288036864
4390,985.9802856445312,247.5197453116579
4400,1018.21240234375,222.22005711237594
4410,1013.5300903320312,227.9868077761791
4420,1011.9740600585938,231.21748415322446
4430,1008.0945434570312,237.72606264666842
4440,1038.8834228515625,217.20704527940734
4450,1027.0081787109375,222.09274239378004
4460,1010.3883666992188,229.49599915086233
4470,1000.572021484375,244.165292244035
4480,1028.3974609375,220.71394344845461
4490,993.555908203125,241.7925328085013
4500,1010.6424560546875,231.20903859181342
4510,989.255615234375,249.8358130138337
4520,1025.9078369140625,225.41789774539583
4530,993.7109375,246.3526628288431
4540,1024.06201171875,229.37051844232775
4550,1021.4591064453125,234.36500345360264
4560,1005.3237915039062,246.25483781121142
4570,1006.6112060546875,251.87422568571432
4580,1000.9701538085938,252.6164431760607
4590,1001.361572265625,250.7194250551761
4600,997.0388793945312,251.28850053017837
4610,1002.3662109375,253.18887456952837
4620,1044.0784912109375,217.63198843536819
4630,1020.3743896484375,239.11478786521312
4640,1011.316162109375,255.3579379853571
4650,1043.744140625,234.90380628520117
4660,1011.5869140625,250.34721924827474
4670,1018.2506103515625,249.5628688147744
4680,991.5499267578125,266.887351108415
4690,1031.595458984375,239.52442580455963
4700,1009.8485717773438,249.69637030708307
4710,1017.22607421875,247.92589075354442
4720,997.5371704101562,254.42796445257537
4730,1007.0177001953125,249.77345264775812
4740,1035.6632080078125,230.62831654791427
4750,1024.57568359375,245.40618885966813
4760,1003.4432983398438,263.9996443247984
4770,1053.94970703125,226.80089016293505
4780,1000.6983032226562,274.34453562273563
4790,1009.0670776367188,269.2635085015684
4800,1019.0289306640625,258.4840645369496
4810,1021.9281005859375,258.22644507142536
4820,1002.3896484375,275.5639578431403
4830,1024.809326171875,254.22861561422044
4840,1021.0908203125,263.4940028944915
4850,1012.190673828125,270.0947741522095
4860,1021.4642944335938,274.54805889543013
4870,1056.9139404296875,243.01036538754397
4880,1017.763671875,273.9071123793924
4890,1023.3538208007812,264.09484519295904
4900,1018.7032470703125,276.50087573501236
4910,1039.3822021484375,257.17098355846394
4920,1043.65087890625,250.51746726721592
4930,1035.413330078125,253.6692219352482
4940,1029.9136962890625,265.59257036259623
4950,1032.8304443359375,259.2747264709816
4960,1029.9935302734375,261.40283888820954
4970,1018.6550903320312,271.7865657587797
4980,1044.6796875,256.27975465414215
4990,1060.679931640625,246.1345125342148
5000,1045.265869140625,255.59632441169177
5010,1025.0269775390625,275.88878110606606
5020,1055.3194580078125,251.11707686156726
5030,1005.960205078125,282.51986945425557
